Page Title,Pages,Page Views
Overview,Platform Layout Overview,No Page Views
Platform Layout Overview,,750
Release notes,"Release notes 2024, Release notes 2023, Release notes 2022, Release notes 2021, Release notes 2020",1144
Release notes 2024,"November, October, September, August, July, June, May, April, March, February, January",651
November,,51
October,,85
September,,96
August,Connectors release 08/20/2024,223
Connectors release 08/20/2024,,160
July,,163
June,,134
May,,180
April,,165
March,,192
February,,244
January,,271
Release notes 2023,"December, November, October, September, August, July, June, May, April, March, February, January",352
December,,383
November,,331
October,,350
September,,224
August,,248
July,,261
June,,198
May,,179
April,,186
March,,189
February,,200
January,,176
Release notes 2022,"December, November, October, September, August, July, June, May, April, March, February, January",219
December,,172
November,,216
October,,201
September,,170
August,,218
July,,203
June,,157
May,,191
April,,184
March,,187
February,,230
January,,259
Release notes 2021,,252
Release notes 2020,,611
AI Pair Programmer,,136
About Digibee Academy,Integration Developer Bootcamp,659
Integration Developer Bootcamp,,89
Use Cases in Action,"Improving integration performance with API pagination, Automating file storage with Digibee, Reprocessing strategy in event-driven integrations",134
Reprocessing strategy in event-driven integrations,,28
Improving integration performance with API pagination,,84
Automating file storage with Digibee,,41
Build overview,,770
Canvas,"Smart Connector User Experience, Execution panel, Design and debug mode, Linter: Canvas building validation, How JSONPath differs in connectors and the Execution panel",875
Smart Connector User Experience,,315
Execution panel,,657
Design and debug mode,,680
Linter: Canvas building validation,,822
How JSONPath differs in connectors and the Execution panel,,162
Pipeline,"How to create a pipeline, How to scaffold a pipeline using an OpenAPI specification, How to create a project, Pipeline version history, Pipeline versioning, Messages processing, Subpipelines, AI Assistant, Pipeline documentation with AI",1739
How to create a pipeline,,63
How to scaffold a pipeline using an OpenAPI specification,,89
How to create a project,,513
Pipeline version history,,429
Pipeline versioning,,555
Messages processing,,460
Subpipelines,,598
AI Assistant,"Flow Generation (Beta), JOLT Generation (Beta), Docs Q&A (Beta)",74
Flow Generation (Beta),,86
JOLT Generation (Beta),,45
Docs Q&A (Beta),,23
Pipeline documentation with AI,,831
Capsules,"How to use Capsules, Capsules versioning, Public capsules, AI Assistant for Capsules Docs Generation",1249
How to use Capsules,"How to create a Capsule collection, How to create a Capsule group, How to configure a Capsule, How to build a Capsule, How to test a Capsule, How to save a Capsule, How to publish a Capsule, How to change a Capsule collection or group, How to archive and restore a Capsule",425
How to create a Capsule collection,Capsule header dimensions,391
Capsule header dimensions,,271
How to create a Capsule group,,502
